dM,dP,dS,dO,target
-125,-23.5,-301,0,0.6666666666666666
275,-84.25,114,0,1
-825,-65.25,53,0,0
675,168.75,124,0,0.3333333333333333
-125,-19.25,-291,0,0.6666666666666666
275,-86,109,-25,1
-825,-67,8,-25,0
675,168,79,-25,0.3333333333333333
-125,-15,-196,75,0.6666666666666666
275,-86.5,202.25,-25,1
-825,-67.5,-58.75,-25,0
675,163.5,98.25,-25,0.3333333333333333
-125,-9.5,-241.75,75,0.6666666666666666
275,-204.25,212.5,0,1
-825,37.75,-225.5,0,0
675,293.75,68.5,0,0.3333333333333333
-125,-127.25,-55.5,0,0.6666666666666666
275,-15.5,103.75,0,1
-825,-14.5,-182.25,0,0
675,-10.5,35.75,0,0.3333333333333333
-125,40.5,42.75,0,0.6666666666666666
425,112.25,82.5,650,1
-675,-114.75,-132.5,-250,0
725,88.25,94.5,-250,0.3333333333333333
-475,-85.75,-44.5,-150,0.6666666666666666
425,-11,45,0,1
-675,-10,-185,0,0
725,-12,190,0,0.3333333333333333
-475,33,-50,0,0.6666666666666666
425,-138,49.25,0,1
-675,-119,-155.75,0,0
725,90,118.25,0,0.3333333333333333
-475,167,-11.75,0,0.6666666666666666
425,-137,78,0,1
-675,-117,-167,0,0
725,88,62,0,0.3333333333333333
-475,166,27,0,0.6666666666666666
425,-133.75,36.75,-25,1
-675,-115.75,-168.25,-25,0
725,85.25,105.75,-25,0.3333333333333333
-475,164.25,25.75,75,0.6666666666666666
425,-134.5,78,-25,1
-675,-115.5,-167,-25,0
725,88.5,62,-25,0.3333333333333333
-475,161.5,27,75,0.6666666666666666
225,-137,83.75,0,1
-875,-118,-121.25,0,0
525,84,-120.25,0,0.3333333333333333
125,171,157.75,0,0.6666666666666666
225,-251,131.5,-250,1
-875,-230,-113.5,-250,0
525,197,8.5,-250,0.3333333333333333
125,284,-26.5,750,0.6666666666666666
225,-29.5,111.5,-25,1
-875,-8.5,-174.5,-25,0
525,-18.5,69.5,-25,0.3333333333333333
125,56.5,-6.5,75,0.6666666666666666
225,-23.5,99.75,-25,1
-875,-7.5,-171.25,-25,0
525,-20.5,-45.25,-25,0.3333333333333333
125,51.5,116.75,75,0.6666666666666666
225,48.75,54.75,-125,1
-875,-27.25,-106.25,-125,0
525,66.75,-36.25,375,0.3333333333333333
125,-88.25,87.75,-125,0.6666666666666666
225,139,102.5,0,1
-875,-61,-55.5,0,0
525,-74,33.5,0,0.3333333333333333
125,-4,-80.5,0,0.6666666666666666
25,-90.75,93.25,0,1
-1075,-68.75,-154.75,0,0
